address	name	status
1000f4f0	FUN_1000f4f0	pseudocode-emitted
1000f4fb	entry	pseudocode-emitted
1000f51e	__CxxFrameHandler3	pseudocode-emitted
1000f524	FUN_1000f524	pseudocode-emitted
1000f557	__EH_prolog3_catch	pseudocode-emitted
1000f58d	__EH_epilog3	pseudocode-emitted
1000f5a1	___report_gsfailure	pseudocode-emitted
1000f6b0	__SEH_prolog4	pseudocode-emitted
1000f6f5	__SEH_epilog4	pseudocode-emitted
1000f709	FUN_1000f709	pseudocode-emitted
1000f72e	_unlock	pseudocode-emitted
1000f734	__dllonexit	pseudocode-emitted
1000f73a	_lock	pseudocode-emitted
1000f7a0	__ValidateImageBase	pseudocode-emitted
1000f7e0	__FindPESection	pseudocode-emitted
1000f830	__IsNonwritableInCurrentImage	pseudocode-emitted
1000f8ec	initterm	pseudocode-emitted
1000f8f2	initterm_e	pseudocode-emitted
1000f8f8	_amsg_exit	pseudocode-emitted
1000f904	___security_init_cookie	pseudocode-emitted
1000f9a0	_crt_debugger_hook	pseudocode-emitted
1000f9a6	_type_info_dtor_internal_method	pseudocode-emitted
1000f9ac	except_handler4_common	pseudocode-emitted
1000f9b8	~AFX_MODULE_STATE	pseudocode-emitted
1000f9be	~AFX_MAINTAIN_STATE2	pseudocode-emitted
1000f9c4	AfxWndProc	pseudocode-emitted
1000f9ca	AFX_MAINTAIN_STATE2	pseudocode-emitted
1000f9d0	AfxTermThread	pseudocode-emitted
1000f9d6	AfxTermExtensionModule	pseudocode-emitted
1000f9dc	AfxUnlockTempMaps	pseudocode-emitted
1000f9e2	AfxLockTempMaps	pseudocode-emitted
1000f9e8	AfxSetModuleState	pseudocode-emitted
1000f9ee	Delete	pseudocode-emitted
1000f9f4	CDynLinkLibrary	pseudocode-emitted
1000f9fa	AfxInitExtensionModule	pseudocode-emitted
1000fa00	AfxWinTerm	pseudocode-emitted
1000fa06	AfxWinInit	pseudocode-emitted
1000fa0c	AfxGetThreadState	pseudocode-emitted
1000fa12	AfxCoreInitModule	pseudocode-emitted
1000fa18	AfxGetModuleState	pseudocode-emitted
1000fa1e	AFX_MODULE_STATE	pseudocode-emitted
1000fa24	operator_delete	pseudocode-emitted
1000fa2a	__IsNonwritableInCurrentImage	pseudocode-emitted
1000faea	__RawDllMainProxy@12	pseudocode-emitted
1000fb14	memcpy	pseudocode-emitted
1000fb20	__aulldvrm	pseudocode-emitted
1000fbb6	memset	pseudocode-emitted
1000fbc0	Unwind@1000fbc0	pseudocode-emitted
1000fbe3	Unwind@1000fbe3	pseudocode-emitted
1000fbec	Unwind@1000fbec	pseudocode-emitted
1000fc10	Unwind@1000fc10	pseudocode-emitted
1000fc40	Unwind@1000fc40	pseudocode-emitted
1000fc70	Unwind@1000fc70	pseudocode-emitted
1000fca0	Unwind@1000fca0	pseudocode-emitted
1000fcd0	Unwind@1000fcd0	pseudocode-emitted
1000fcd9	Unwind@1000fcd9	pseudocode-emitted
1000fce8	Unwind@1000fce8	pseudocode-emitted
1000fcf7	Unwind@1000fcf7	pseudocode-emitted
1000fd06	Unwind@1000fd06	pseudocode-emitted
1000fd15	Unwind@1000fd15	pseudocode-emitted
1000fd24	Unwind@1000fd24	pseudocode-emitted
1000fd33	Unwind@1000fd33	pseudocode-emitted
1000fd42	Unwind@1000fd42	pseudocode-emitted
1000fd51	Unwind@1000fd51	pseudocode-emitted
1000fd60	Unwind@1000fd60	pseudocode-emitted
1000fd6f	Unwind@1000fd6f	pseudocode-emitted
1000fd7e	Unwind@1000fd7e	pseudocode-emitted
1000fd8d	Unwind@1000fd8d	pseudocode-emitted
1000fd9b	Unwind@1000fd9b	pseudocode-emitted
1000fda9	Unwind@1000fda9	pseudocode-emitted
1000fdd0	Unwind@1000fdd0	pseudocode-emitted
1000fddc	Unwind@1000fddc	pseudocode-emitted
1000fdee	Unwind@1000fdee	pseudocode-emitted
1000fe00	Unwind@1000fe00	pseudocode-emitted
1000fe12	Unwind@1000fe12	pseudocode-emitted
1000fe24	Unwind@1000fe24	pseudocode-emitted
1000fe36	Unwind@1000fe36	pseudocode-emitted
1000fe48	Unwind@1000fe48	pseudocode-emitted
1000fe5a	Unwind@1000fe5a	pseudocode-emitted
1000fe6c	Unwind@1000fe6c	pseudocode-emitted
1000fe7e	Unwind@1000fe7e	pseudocode-emitted
1000fe90	Unwind@1000fe90	pseudocode-emitted
1000fea2	Unwind@1000fea2	pseudocode-emitted
1000feb4	Unwind@1000feb4	pseudocode-emitted
1000fec5	Unwind@1000fec5	pseudocode-emitted
1000fed6	Unwind@1000fed6	pseudocode-emitted
1000fee7	Unwind@1000fee7	pseudocode-emitted
1000fef9	Unwind@1000fef9	pseudocode-emitted
10010110	FUN_10010110	pseudocode-emitted
10010120	FUN_10010120	pseudocode-emitted
10010130	FUN_10010130	pseudocode-emitted
10010140	FUN_10010140	pseudocode-emitted
10010150	FUN_10010150	pseudocode-emitted
10010160	FUN_10010160	pseudocode-emitted
10010170	FUN_10010170	pseudocode-emitted
10010180	FUN_10010180	pseudocode-emitted
10010190	FUN_10010190	pseudocode-emitted
100101a0	FUN_100101a0	pseudocode-emitted
100101b0	FUN_100101b0	pseudocode-emitted
100101c0	FUN_100101c0	pseudocode-emitted
100101d0	FUN_100101d0	pseudocode-emitted
100101db	FUN_100101db	pseudocode-emitted
